RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
48,15611394,Jackson,780,France,Male,30,9,125008.88,1,1,0,79893.05,0
49,15669092,Smith,568,Spain,Male,54,10,127011.44,1,1,1,180149.6,0
50,15603890,Jones,611,Spain,Male,48,6,158413.5,2,1,1,26423.99,0
51,15641606,Chu,695,Spain,Female,36,7,137628.54,2,0,1,194911.22,0
52,15687313,Jackson,564,Germany,Female,57,6,46287.45,1,1,1,51963.11,1
53,15741699,Bartlett,671,France,Male,49,7,0.0,2,1,1,112125.13,0
54,15608792,Mitchell,671,France,Male,33,8,0.0,1,0,0,163605.65,1
55,15774073,White,589,Spain,Male,28,3,82820.29,2,0,1,53120.68,0
56,15754969,Boni,624,Spain,Male,52,2,0.0,1,1,0,58222.07,1
57,15668148,Williams,558,Spain,Female,30,6,0.0,2,0,1,118213.77,0
58,15724243,Harris,784,Spain,Female,41,8,74541.03,2,1,1,14770.75,0
59,15720174,Clark,674,France,Male,53,8,0.0,2,1,1,151601.21,1
60,15754555,Thompson,548,France,Male,40,7,0.0,1,1,1,61712.95,0
61,15724358,Bearce,662,France,Male,39,2,45407.14,2,1,0,191288.89,0
62,15648555,Williams,666,Spain,Male,22,5,80659.83,1,1,0,57726.06,0
63,15617159,Martin,432,France,Male,48,1,114616.64,1,1,0,188242.47,0
64,15710510,White,780,Germany,Female,20,5,132678.94,1,1,1,22670.14,1
65,15706530,Thomas,554,France,Female,52,4,0.0,1,0,0,80132.97,1
66,15680077,Obinna,850,Germany,Male,22,3,0.0,2,1,1,129907.12,0
67,15635920,Thomas,727,Spain,Male,30,2,0.0,1,1,0,52293.69,0
68,15798193,He,540,Germany,Male,50,7,13157.43,2,0,1,149326.63,1
69,15619457,Anderson,619,Spain,Male,53,9,0.0,1,0,1,198587.28,1
70,15797629,Thompson,739,Germany,Female,39,5,117529.18,1,1,1,188444.79,1
71,15678953,Davis,626,France,Female,35,8,0.0,2,0,0,195658.02,0
72,15652995,Thompson,764,France,Male,40,2,154080.28,1,1,0,10976.9,0
73,15771829,Hargrave,613,Spain,Female,19,4,110452.91,2,0,0,120988.54,0
74,15609692,Mitchell,642,France,Female,49,3,0.0,1,1,0,171795.23,0
75,15776830,Onio,742,France,Male,32,5,124854.77,1,0,0,174777.62,1
76,15796769,Lewis,708,France,Male,36,1,71928.16,2,1,1,97450.48,0
77,15637065,Anderson,560,France,Male,39,5,138432.04,2,0,1,2320.7,1
78,15699299,Mitchell,692,France,Female,41,2,174072.07,2,1,0,153682.66,0
79,15763678,Mitchell,666,Germany,Female,43,7,0.0,2,0,0,187744.78,0
80,15611534,Johnson,561,Spain,Female,51,9,0.0,2,1,1,864.97,0
81,15640397,Taylor,515,Spain,Female,51,9,0.0,1,1,0,8752.7,1
82,15691387,Taylor,462,France,Female,38,10,66805.39,1,0,0,154746.58,1
83,15601016,Anderson,621,Germany,Female,46,5,42116.83,1,1,0,155771.83,0
84,15655591,Obinna,644,Spain,Female,47,7,0.0,1,0,1,42108.86,0
85,15623247,Garcia,698,Spain,Female,21,6,0.0,1,0,1,143483.32,0
86,15624300,Brown,729,France,Male,34,5,155703.55,1,1,0,176626.45,0
87,15682798,Boni,609,France,Male,29,8,0.0,1,1,0,51530.17,0
88,15609268,Thomas,641,Spain,Male,39,10,96159.25,2,1,1,89388.75,0
89,15686807,Anderson,576,Spain,Male,51,8,0.0,2,1,0,97244.49,0
90,15612185,Onio,658,Germany,Female,46,9,0.0,2,0,1,82871.88,0
91,15794776,Onio,743,France,Male,47,9,0.0,1,1,1,65281.93,0
92,15770171,Bartlett,659,Germany,Female,35,3,0.0,2,1,1,197866.28,0
93,15739643,Chu,762,France,Male,35,7,210700.47,2,1,1,114105.01,0
94,15638044,Mitchell,742,France,Female,32,2,0.0,2,1,0,143026.49,0
95,15651214,Jackson,791,France,Female,30,10,23456.46,2,1,0,21329.9,1
96,15792300,Jones,662,France,Female,44,4,115654.96,1,1,0,101906.2,0
97,15714752,Garcia,598,France,Male,33,2,7700.11,2,1,0,179215.58,0
98,15648984,Smith,710,France,Female,25,9,0.0,1,1,1,142653.03,0
99,15640774,Garcia,613,France,Male,41,3,0.0,3,1,1,55986.47,1
100,15602568,Robinson,707,France,Female,39,4,119486.68,2,1,1,168571.45,0
101,15720151,Hill,585,France,Male,41,7,0.0,1,0,1,10486.17,0
102,15793664,Wilson,569,France,Female,53,9,48830.49,1,1,1,197099.17,1
103,15798635,Boni,767,France,Female,39,7,121851.12,1,1,0,151557.37,1
104,15733767,Mitchell,551,France,Female,32,2,50724.05,2,1,0,190180.18,1
105,15724375,He,749,France,Female,32,7,140461.05,2,1,1,171072.88,0
106,15779262,Harris,706,France,Male,29,9,31690.2,2,1,0,154228.52,0
107,15736330,Chu,659,France,Male,31,3,21745.96,1,0,0,88472.17,0
108,15639504,Davis,466,Spain,Male,26,10,86338.39,1,1,0,161514.76,1
109,15764231,Clark,794,Germany,Male,40,1,0.0,2,1,0,15205.22,1
110,15613986,Boni,559,Spain,Female,32,2,70790.3,2,0,1,45655.05,0
111,15661858,Martin,742,Germany,Female,40,7,0.0,1,1,1,177499.72,0
112,15729312,Garcia,582,Spain,Female,35,4,0.0,1,1,1,139820.59,0
113,15612666,He,575,France,Male,37,1,86900.49,1,1,0,37277.92,1
114,15638660,Garcia,714,Germany,Female,56,6,85282.62,1,0,0,83113.01,0
115,15734633,Hill,702,Germany,Female,50,4,60950.98,1,1,1,142682.76,0
116,15626854,Williams,538,Spain,Female,23,5,183615.39,1,1,0,159262.42,1
117,15664505,Taylor,789,France,Male,32,1,0.0,1,1,0,168086.66,0
118,15704488,Smith,630,Spain,Female,20,10,204550.37,2,1,0,29602.31,0
119,15783323,Obinna,656,Germany,Male,34,6,57929.67,2,0,0,1372.77,0
120,15622662,White,621,Germany,Male,42,0,145895.57,2,1,1,26899.84,1
121,15608392,Brown,543,Spain,Female,49,9,97207.95,1,1,1,98456.88,0
122,15630535,Chu,721,Spain,Female,49,9,0.0,1,1,0,184351.59,0
123,15713569,Thomas,678,Germany,Female,42,4,210039.52,2,1,1,38765.31,1
124,15652256,Garcia,571,France,Male,29,8,94192.02,2,1,1,154273.69,0
125,15689135,Anderson,741,France,Male,47,6,0.0,2,1,1,135774.51,1
126,15727478,Thomas,655,France,Male,39,8,0.0,1,0,1,192764.4,0
127,15635222,Taylor,657,France,Female,40,8,46744.05,1,0,1,58170.76,0
128,15677373,Robinson,822,France,Male,58,0,152920.56,2,1,0,137185.52,0
129,15723684,Miller,494,Germany,Female,29,7,158218.71,2,1,0,5922.12,0
130,15794407,Miller,492,Spain,Female,59,6,153214.63,1,1,1,48034.94,0
131,15610965,Anderson,514,France,Female,56,10,65774.94,1,1,0,125061.42,0
132,15624538,Brown,685,Germany,Male,39,1,143118.83,1,0,0,194102.83,1
133,15708066,Lewis,615,France,Male,40,2,0.0,1,1,1,79821.16,0
134,15713252,Smith,622,Spain,Female,31,5,24670.47,2,0,1,132874.35,0
135,15739182,Jackson,558,France,Female,40,10,50185.8,2,1,1,14727.54,1
136,15758338,Robinson,811,Germany,Female,39,10,192757.97,1,1,1,2288.91,0
137,15784064,Wilson,844,Spain,Male,32,2,0.0,1,1,1,30024.5,0
138,15698806,Chu,737,France,Female,31,7,0.0,2,0,1,116286.3,0
139,15737982,Boni,503,Germany,Male,36,3,11069.36,2,1,0,161931.21,1
140,15710989,Boni,602,Spain,Male,38,6,84968.28,1,0,0,72602.61,1
141,15690982,Wilson,730,France,Female,21,3,178755.82,2,0,0,140077.89,1
142,15721626,Onio,645,Spain,Female,50,1,107385.78,2,1,0,95299.69,1
143,15719176,He,737,Spain,Male,34,6,0.0,1,1,0,163656.7,0
144,15731278,Wilson,771,France,Male,35,7,0.0,2,0,1,20826.45,0
145,15722409,Taylor,834,France,Male,40,0,162131.55,1,1,1,116814.79,0
146,15623419,Obinna,586,Germany,Male,36,4,0.0,1,0,0,186308.32,0
147,15781708,Johnson,657,Spain,Male,50,9,0.0,1,0,0,17726.67,1
148,15650015,Garcia,607,France,Male,36,7,141238.06,1,0,0,52634.63,1
149,15722096,Harris,455,Germany,Female,33,0,0.0,2,1,1,54636.91,0
150,15707059,Williams,718,France,Female,45,2,95815.59,1,1,1,130577.45,0
151,15785340,Anderson,704,Spain,Female,46,1,0.0,2,1,0,156247.62,1
152,15710687,Garcia,596,Germany,Male,64,2,107191.89,1,1,0,127957.66,1
153,15687939,Williams,494,Germany,Male,20,2,60909.32,2,1,0,89525.82,0
154,15749213,Boni,612,Germany,Female,39,2,0.0,2,0,1,50114.26,0
155,15705878,Anderson,720,Spain,Male,45,0,0.0,2,1,0,185785.48,0
156,15787116,Harris,779,France,Male,29,2,9516.52,2,1,0,36264.42,0
157,15798286,Jackson,580,Spain,Male,53,1,52840.93,2,1,0,153840.73,0
158,15764899,Lewis,757,France,Male,32,8,0.0,2,1,0,31404.12,0
159,15786892,Obinna,710,Germany,Female,40,9,0.0,2,1,0,84576.71,0
160,15662623,Taylor,690,Spain,Female,49,7,12592.94,1,0,0,60276.37,1
161,15675450,Garcia,524,France,Female,28,5,47767.89,2,0,1,57465.58,0
162,15693426,Harris,528,Spain,Female,37,6,90188.58,1,0,0,61211.01,0
163,15717845,Mitchell,569,Germany,Female,46,0,94941.16,1,1,0,165075.21,1
164,15753371,Robinson,618,Spain,Male,40,6,128018.38,1,0,0,46390.92,0
165,15643585,Robinson,824,France,Male,45,7,49720.46,2,0,0,45054.43,1
166,15709225,Miller,585,France,Female,46,7,0.0,1,1,0,66489.7,1
167,15664044,Harris,724,Spain,Male,33,5,143383.75,2,0,0,129995.75,1
168,15773629,Robinson,604,Spain,Female,55,6,133874.41,2,1,0,110812.82,1
169,15780152,Robinson,695,France,Female,30,10,36642.12,2,0,1,84946.55,0
170,15709556,Lewis,643,Spain,Female,52,1,0.0,2,1,1,187936.13,0
171,15602693,Wilson,667,Germany,Female,42,3,89772.4,1,0,1,34378.21,0
172,15695259,Boni,685,Spain,Male,32,7,90908.03,4,0,0,24083.34,0
173,15625939,Johnson,625,Germany,Female,30,10,98061.52,2,1,1,35333.62,0
174,15779997,Davis,686,France,Female,41,3,0.0,2,0,0,121236.42,0
175,15774013,Lewis,769,France,Female,36,7,36780.32,1,0,1,157747.95,0
176,15752906,Johnson,576,Spain,Female,43,9,101743.9,1,0,1,149049.61,0
177,15618047,Anderson,765,France,Male,36,3,0.0,1,1,0,182105.32,1
178,15626105,Chu,624,Spain,Female,39,8,74238.24,2,1,0,146484.97,0
179,15675766,Miller,614,Spain,Male,44,0,141459.3,1,1,0,199961.16,0
180,15746779,Garcia,717,France,Female,38,5,0.0,1,1,1,109898.15,0
181,15753048,Bearce,616,Germany,Female,36,0,150143.26,1,1,1,198970.66,0
182,15644262,Taylor,680,Germany,Male,42,5,81704.22,2,1,1,107504.08,0
183,15725117,Jones,671,Germany,Female,35,3,0.0,2,0,1,16151.67,0
184,15623776,Anderson,447,France,Female,45,7,97254.86,2,0,1,160889.34,0
185,15761152,Smith,690,Spain,Female,43,7,50973.84,1,1,0,177216.26,0
186,15728376,Johnson,510,Germany,Female,45,8,7611.05,2,1,1,89647.88,0
187,15797914,Boni,517,Spain,Female,45,6,0.0,2,1,1,29780.87,0
188,15792445,Smith,685,Germany,Male,36,10,0.0,1,1,1,187365.05,0
189,15737848,Clark,702,France,Female,19,7,145277.34,2,1,1,180252.02,0
190,15692787,Johnson,766,Germany,Female,37,10,0.0,2,1,0,52587.71,1
191,15727948,Hargrave,544,Spain,Female,41,2,0.0,1,1,1,34049.33,0
192,15655016,Lewis,578,France,Male,37,9,0.0,2,1,0,18750.03,0
193,15740546,He,695,Spain,Male,31,3,45871.21,2,0,1,44313.67,0
194,15789125,Onio,768,France,Female,51,3,38587.39,1,1,0,164856.3,1
195,15621959,Hargrave,668,Spain,Male,30,5,72739.23,1,1,1,116602.17,0
196,15736602,Boni,564,Spain,Male,32,6,163711.59,2,1,1,96632.3,0
197,15719101,Brown,796,Spain,Female,34,8,18862.97,1,0,1,179808.68,0
198,15603748,Thomas,624,France,Male,36,9,52648.67,2,1,1,68336.23,0
199,15613545,Hill,627,Germany,Male,33,5,0.0,2,1,1,93272.6,0
200,15727659,Lewis,510,Spain,Male,38,1,0.0,1,1,0,190924.33,0
201,15797271,Robinson,720,Germany,Male,40,9,53155.66,1,1,0,55310.77,0
202,15765838,Smith,732,Germany,Male,29,9,145346.2,1,0,1,138422.85,0
203,15673530,Bearce,581,Spain,Male,27,6,0.0,1,0,0,33615.09,0
204,15693557,Bearce,819,Germany,Female,46,9,89050.45,2,1,0,110884.52,1
205,15661087,Smith,593,Germany,Female,38,8,0.0,1,1,0,170282.44,0
206,15668840,Boni,710,France,Male,49,7,35531.09,1,1,0,59689.01,0
207,15718451,White,671,France,Male,45,3,0.0,1,1,1,35156.06,0
208,15785456,Brown,453,Spain,Female,36,1,0.0,1,1,0,174934.2,0
209,15651005,Jones,702,Spain,Male,43,7,157251.64,1,1,0,35848.12,0
210,15777648,Anderson,694,France,Male,46,5,0.0,2,1,0,181599.49,0
211,15639353,Boni,478,Spain,Male,30,7,0.0,2,0,1,144749.58,0
212,15793075,Obinna,797,France,Male,23,10,24611.87,2,0,1,34275.28,0
213,15652733,Onio,694,France,Female,29,8,0.0,1,0,0,179364.61,1
214,15665318,Jackson,770,France,Female,44,2,141264.82,2,1,0,49370.22,0
215,15754736,Martin,483,Spain,Male,56,7,0.0,2,1,0,51171.21,0
216,15667172,Boni,610,Spain,Male,38,9,0.0,2,1,0,151423.98,1
217,15693264,Jackson,764,Germany,Female,51,7,0.0,1,1,0,123343.72,1
218,15626736,Boni,497,France,Male,48,4,0.0,2,1,1,165726.49,1
219,15712859,Hill,613,Germany,Male,32,5,79105.72,1,0,0,78857.96,0
220,15712181,Chu,689,Spain,Female,38,4,75237.69,2,0,1,145314.1,0
221,15731926,Johnson,466,France,Male,45,5,0.0,2,0,0,110330.49,1
222,15690084,Martin,521,France,Female,27,0,32843.14,2,1,1,103745.25,1
223,15769695,Garcia,784,Germany,Male,47,9,0.0,1,0,1,125950.04,1
224,15607392,White,655,France,Male,49,9,73480.42,2,1,1,182375.51,1
225,15655680,Smith,764,France,Female,47,9,153477.24,2,0,1,125857.06,1
226,15777789,Thompson,667,Germany,Male,37,1,131097.48,2,1,1,109043.14,0
227,15650859,Anderson,850,Germany,Male,43,7,0.0,2,0,0,196935.22,0
228,15725657,Clark,692,Spain,Female,48,0,0.0,2,1,0,165792.58,1
229,15757381,Williams,773,France,Male,24,8,74354.94,2,1,1,2598.6,0
230,15794806,Anderson,626,Germany,Female,18,6,0.0,1,1,1,47636.22,0
231,15670467,He,670,France,Male,44,0,0.0,1,1,1,87393.5,0
232,15783734,Jones,712,France,Female,33,4,0.0,1,0,0,88395.3,0
233,15698506,Thompson,728,Germany,Female,40,1,0.0,1,1,1,190660.19,1
234,15709751,Chu,646,France,Male,41,10,0.0,1,1,0,60195.27,1
235,15718906,Hill,650,France,Female,51,0,6222.73,2,0,1,194017.25,1
236,15743760,Miller,698,Spain,Female,40,0,0.0,2,1,0,6607.28,0
237,15625342,Taylor,698,France,Male,44,4,0.0,1,1,0,180824.28,0
238,15768229,Obinna,550,Spain,Female,43,3,65482.62,1,1,1,127503.45,0
239,15798935,He,671,France,Female,46,4,0.0,2,1,0,81921.67,0
240,15706308,Anderson,681,France,Male,33,5,194056.47,1,1,0,198048.23,0
241,15783155,Williams,555,France,Female,42,0,60807.99,2,1,0,199579.3,0
242,15706081,Lewis,737,France,Male,18,1,0.0,2,0,0,83987.72,0
243,15796805,Taylor,690,Spain,Female,32,1,0.0,2,1,1,38680.62,0
244,15689045,Bartlett,850,Germany,Male,49,4,0.0,1,1,0,91351.96,1
245,15634698,Taylor,647,France,Male,25,9,72547.69,1,1,1,166569.51,0
246,15710078,White,760,Germany,Male,26,8,33305.46,1,1,0,140840.96,0
247,15680623,Thomas,702,Spain,Male,45,6,128462.85,1,1,1,11809.04,0
248,15622671,Harris,836,France,Female,32,9,70945.85,1,1,1,44567.57,0
249,15756256,Taylor,555,France,Male,51,3,0.0,2,1,0,93194.79,0
250,15693384,Bearce,601,France,Male,39,4,59311.94,1,1,1,191691.37,0
251,15773179,Taylor,559,Spain,Male,54,10,0.0,1,1,1,123363.36,0
252,15686202,Chu,642,France,Male,56,6,173500.63,2,0,0,10142.53,0
253,15651663,Clark,540,France,Female,51,9,0.0,1,1,0,76720.04,1
254,15615708,Smith,501,Germany,Male,33,8,79744.41,1,0,1,181353.9,0
255,15691906,Boni,443,Germany,Female,27,9,93815.39,1,0,1,101192.16,0
256,15649811,He,436,Spain,Female,51,6,128786.13,2,0,0,19422.8,1
257,15733883,Chu,713,France,Female,38,10,0.0,2,1,0,119699.96,0
258,15656250,Taylor,605,Germany,Male,41,1,54394.59,1,1,1,135499.63,0
259,15712547,Johnson,530,Spain,Female,50,3,16141.69,2,1,1,150547.76,1
260,15724249,Thompson,586,France,Male,27,9,0.0,1,1,1,67150.48,0
261,15634754,Bearce,598,France,Male,44,3,0.0,2,1,1,140199.58,0
262,15742483,Boni,556,Germany,Female,34,10,0.0,2,0,1,64041.63,0
263,15733983,Miller,805,Spain,Female,46,8,0.0,1,0,0,104071.22,0
264,15798342,Miller,787,France,Male,42,7,67948.09,2,0,1,3911.75,0
265,15739752,Lewis,804,France,Female,47,5,0.0,2,0,1,134824.99,0
266,15684896,Bartlett,667,Spain,Female,34,7,0.0,1,0,1,75677.93,0
267,15671295,Wilson,677,Germany,Male,31,6,122308.18,1,1,1,141006.45,0
268,15700689,Hill,586,Spain,Male,39,7,76084.34,2,1,1,192873.66,0
269,15611111,Johnson,567,Spain,Male,33,6,71995.55,1,1,1,16226.07,0
270,15637504,White,652,France,Male,32,1,0.0,1,1,1,171882.95,0
271,15732874,Thompson,713,Spain,Male,31,10,91060.4,2,1,0,46527.57,0
272,15608155,Smith,765,France,Male,45,5,45278.98,1,1,0,48437.82,0
273,15639384,Wilson,597,Spain,Male,58,3,151262.14,2,1,1,45214.87,0
274,15712561,Lewis,528,Spain,Male,46,3,38169.56,2,1,1,27514.53,0
275,15647254,Hargrave,721,Germany,Male,46,9,0.0,1,1,0,39232.22,1
276,15621918,Clark,473,Germany,Male,45,5,0.0,1,1,0,148482.34,0
277,15685981,Brown,646,France,Male,29,7,48755.0,1,0,1,153693.43,0
278,15791785,Obinna,658,France,Female,45,4,78426.9,1,1,1,192250.84,0
279,15630306,Davis,613,France,Male,20,2,93426.1,2,1,0,20764.11,1
280,15747718,Jackson,500,Spain,Female,42,0,59618.78,2,1,1,30124.55,0
281,15646843,Brown,614,France,Female,46,4,52274.7,2,1,1,177029.25,0
282,15720975,Wilson,809,France,Male,47,2,0.0,2,1,0,112921.13,0
283,15696601,Wilson,707,Spain,Male,45,2,139126.22,1,0,1,109039.8,0
284,15707512,Hill,762,France,Female,26,3,0.0,2,0,1,154388.47,0
285,15747443,Robinson,531,Spain,Male,32,8,0.0,2,1,0,110599.11,0
286,15711472,Thomas,674,France,Male,50,3,133369.31,2,1,1,12444.35,0
287,15733121,Taylor,658,France,Male,42,4,48340.28,1,1,1,179835.53,0
288,15762688,Anderson,660,France,Male,42,9,0.0,1,1,0,26792.76,0
289,15703727,Miller,703,Spain,Male,33,4,0.0,2,1,0,96034.42,0
290,15712893,Wilson,664,France,Female,27,0,0.0,2,0,0,72913.42,1
291,15620932,Garcia,534,France,Male,31,6,0.0,1,1,0,73981.81,0
292,15717796,Clark,709,Germany,Female,25,1,96275.12,1,1,0,56852.52,1
293,15629855,Martin,731,Spain,Male,44,5,52425.07,1,1,0,191438.2,0
294,15792506,Bearce,777,France,Male,18,10,0.0,1,1,1,16832.43,0
295,15774088,Harris,782,Germany,Male,31,3,0.0,2,1,0,160499.19,0
296,15607400,Miller,696,Germany,Female,58,4,107601.12,2,1,0,78511.16,1
297,15717858,Martin,539,Germany,Male,36,4,54903.61,1,1,1,10538.39,1
298,15773714,Jones,501,France,Male,31,3,39816.59,2,1,1,114611.18,0
299,15615151,Martin,627,France,Male,61,1,132735.77,1,1,0,74447.04,0
300,15782479,Smith,739,France,Male,34,7,0.0,2,1,0,44128.22,0
301,15666690,Clark,732,Germany,Male,58,0,0.0,2,1,0,74089.58,0
302,15604499,Jones,676,France,Female,36,8,0.0,2,1,1,195423.69,0
303,15606295,Miller,646,Germany,Male,48,5,0.0,1,0,1,153186.92,1
304,15720885,Clark,834,France,Male,61,3,0.0,3,1,1,163993.15,0
305,15726071,Hill,705,France,Female,40,5,180126.45,3,0,0,105107.49,0
306,15659040,Jones,641,Germany,Female,35,10,38533.88,1,1,0,59102.33,1
307,15612183,He,587,Spain,Male,46,8,0.0,2,1,0,109644.62,0
308,15760371,Thompson,552,Germany,Female,29,8,0.0,1,1,1,109118.37,0
309,15743946,Chu,542,France,Male,51,2,85598.83,2,1,0,29674.56,1
310,15716336,Hill,552,France,Female,32,7,73756.36,2,0,1,132399.97,0
311,15632711,Bearce,677,Germany,Male,23,0,117498.24,3,0,1,156257.05,0
312,15605539,Davis,648,Germany,Female,38,8,60897.81,1,1,0,109789.19,0
313,15784423,He,618,Germany,Female,34,6,0.0,2,1,0,79376.96,1
314,15792339,He,721,France,Male,18,9,108393.47,1,0,1,127773.57,0
315,15779426,Smith,825,Spain,Male,39,6,0.0,1,1,1,107462.88,1
316,15726063,Johnson,570,Spain,Male,28,5,0.0,1,1,1,16627.64,0
317,15733629,Bearce,584,France,Male,34,0,0.0,2,0,1,74899.36,0
318,15638360,Harris,434,Germany,Female,28,1,117460.08,2,1,1,185267.07,0
319,15733272,Lewis,647,France,Male,45,10,0.0,1,1,1,12312.38,0
320,15799569,Obinna,637,France,Male,38,2,44889.35,1,1,1,56772.0,0
321,15778047,Robinson,736,France,Female,24,0,110556.07,1,1,0,171315.12,0
322,15621357,Anderson,641,Germany,Female,53,4,0.0,1,1,0,278.05,1
323,15719121,Mitchell,592,France,Male,42,10,116926.7,2,1,0,188233.48,0
324,15677505,Taylor,668,Spain,Female,34,4,260000.0,1,1,0,137638.44,0
325,15602869,Boni,704,France,Male,31,5,0.0,2,1,1,75829.39,0
326,15792207,Boni,493,France,Female,38,6,0.0,2,1,0,5710.51,0
327,15650108,Brown,747,France,Female,26,9,188815.12,1,1,0,9138.58,0
328,15712296,Jones,776,Germany,Female,52,8,108671.51,1,0,1,59122.21,1
329,15694179,Brown,703,France,Female,50,6,146727.96,1,1,1,131830.8,0
330,15690272,Jackson,559,France,Male,35,5,43681.26,1,1,0,13462.35,0
331,15638467,Mitchell,618,France,Male,35,8,0.0,3,1,1,176331.37,0
332,15623328,Jackson,764,France,Male,30,1,0.0,2,1,0,171530.38,0
333,15691412,Robinson,555,France,Female,41,5,172772.03,2,1,1,57040.2,0
334,15735059,He,710,France,Female,41,4,19095.62,1,1,1,38902.03,0
335,15658871,Bartlett,645,France,Male,46,5,0.0,2,1,1,85890.42,0
336,15753471,Boni,665,Germany,Male,41,9,51389.54,2,1,1,56474.89,0
337,15728391,Johnson,568,France,Female,30,0,0.0,2,1,1,190082.32,0
338,15777286,Martin,682,Germany,Male,31,10,0.0,1,1,0,116545.43,0
339,15686416,Smith,675,France,Female,40,4,0.0,1,1,1,147220.04,0
340,15670271,Chu,503,France,Female,32,7,75717.34,1,1,1,106128.07,0
341,15644064,Clark,649,Spain,Male,52,2,0.0,1,1,1,167325.44,0
342,15707450,Wilson,709,Germany,Male,38,2,0.0,2,1,1,19563.94,1
343,15771890,Obinna,612,Spain,Female,24,10,0.0,2,1,0,144542.92,0
344,15776597,Williams,412,France,Male,38,6,0.0,1,1,1,153516.78,0
345,15619830,Mitchell,638,Spain,Male,37,6,0.0,1,1,1,72063.98,0
